"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000258274",12.865413225833,2.08953015772273,1.40744263830101,1.48462900075636,NA,NA
"ENSG00000166391",4.64265786857866,3.29360091556447,1.98887135759701,1.65601505747655,0.0977187695493112,NA
"ENSG00000250993",6.19091223354496,5.51463511197984,2.83965294945967,1.94201024214215,NA,NA
"ENSG00000255733",6.14377259405087,4.2880271754149,1.98737215066019,2.15763674357139,NA,NA
"ENSG00000188646",4.74517752400157,5.13597241577398,2.4369573501776,2.10753479760312,0.0350712486727142,NA
"ENSG00000266088",12.3681443528711,3.02027638505193,1.52873414163416,1.97567144135563,0.0481920014592253,0.103855631051664
"ENSG00000286452",9.83816811301781,2.97421231528404,1.61487395477721,1.84176127584791,0.0655100767024006,0.123889804920186
"ENSG00000163209",2.6441404348273,4.30449910574117,2.94224967683359,1.46299586321091,NA,NA
"ENSG00000231107",14.7318188032168,2.31568213998078,1.37771664863574,1.68081161120746,0.092799512591892,0.157306490856988
"ENSG00000211647",4.28641216273262,4.99023040201244,2.44241361338733,2.04315533399422,0.0410370637300925,NA
"ENSG00000227182",5.54736733465847,5.35874778478049,2.87043819625593,1.86687446946957,NA,NA
"ENSG00000256678",8.75979474751641,3.25516746649595,2.26982287783722,1.43410637820234,NA,NA
"ENSG00000264015",9.83522857823599,3.52145721132392,2.06636446580154,1.70418010452864,0.0883474449274289,0.153677532257471
"ENSG00000241825",11.2189708967131,2.63201130415407,1.82973926570354,1.43846249216391,NA,NA
"ENSG00000287951",9.12526107565208,2.99797559937155,1.50590228721824,1.99081681780929,0.0465010297429139,0.101789655657717
"ENSG00000285576",9.05297057453027,2.68166284053028,1.60973409777794,1.66590422867479,0.0957324912503391,0.157477115784581
"ENSG00000250041",17.9698352324613,2.46944453915267,1.42249094797106,1.73600017819087,NA,NA
"ENSG00000211747",16.9604085846888,2.39049387771096,1.47493375867692,1.62074660210866,0.105071994668931,0.166914368674074
"ENSG00000167749",7.2628300217261,2.08416654650845,1.75494341222116,1.18759757835759,NA,NA
"ENSG00000258602",17.9656406783386,2.69466361894801,1.90175169203961,1.41693767394943,NA,NA
"ENSG00000234710",5.33467706854577,3.45780730297474,1.86387007404888,1.85517614726404,0.0635710766967695,0.121881098770358
"ENSG00000251546",6.40492371630696,2.69852052992056,1.78167877513469,1.5145943071116,0.129875174774827,0.194114508534419
"ENSG00000253497",5.06983923662589,3.33669464936969,2.47393769417304,1.34873835231531,0.177421022113037,0.238275575591422
"ENSG00000202111",9.89530644831631,4.47486018619578,1.72944525490207,2.58745408304304,0.00966880812521294,0.0344606238308871
"ENSG00000286540",13.215356090148,2.88855035114095,1.33977212083388,2.15600123798897,0.0310835684877618,0.0744933796517051
"ENSG00000258451",16.204020678516,2.51593416734081,1.82158739425156,1.38117675565851,NA,NA
"ENSG00000186910",4.06465417134639,4.28892117326586,2.77888378978347,1.54339709671704,NA,NA
"ENSG00000228358",21.8886253541131,2.42449187879324,1.47682268627785,1.64169463356761,NA,NA
"ENSG00000163646",8.65058419886755,5.39673952769024,2.42496429917833,2.22549236272008,NA,NA
"ENSG00000228509",19.458874041024,2.87623288785743,1.37086990620431,2.09810783272732,NA,NA
"ENSG00000152611",9.30320682827654,2.01032019958167,1.45171496194147,1.38478988801847,NA,NA
"ENSG00000232211",13.3452396181573,3.57203368670468,2.10980399577796,1.69306423433308,NA,NA
"ENSG00000214819",3.85069112727192,4.84242223059559,2.99840771798827,1.61499792091134,NA,NA
